country,Region,area,population,density,"Sex ratio (m per 100 f, 2017)",GDP,"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,57.9/64.1,104,121,641,727,-86,-860,2.6,49.7,3.4,4.8,61.6/59.8,41.8/4.9,113.8/2.5,22.1,59,10,...,2.8,89.1/98.5,32.5/41.9,9.0/14.2,12.3,81.1,5.9,172,43.7,0.9/0.2,73,19,88.6/62.6,28.0/5.9,61.73,-99
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32,19.1,25.1,55.8,19.2,27.8/78.4,113,114,4615,8876,-4261,-108,0.2,78.6,1.1,2.4,74.4/68.8,28.2/6.6,771.1/12.3,472.5,24.3,5,2.1,-99,.../...,.../...,.../...,16,157,19,63,0.1,57.0/9.1,1505,119,.../...,96.8/95.7,0.51,-99
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,50.5/82.3,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,56.9/55.6,47.7/4.0,363.1/2.1,90.8,78.5,7,...,3.7,72.1/79.3,36.8/45.6,4.1/9.6,8.8,139.6,10.3,42,3.9,1.4/0.1,55,4,96.5/64.1,37.5/16.1,9.45,-99
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,29.3/65.5,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,64.1/61.2,39.9/5.0,138.2/3.4,69,68,3.8,...,2.9,105.0/100.0,29.5/31.7,3.6/7.1,25.2,89.3,15.2,86,0.2,2.7/0.7,31,13,58.4/57.1,57.5/13.8,5.02,-99
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,25.6/74.5,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,2.6,76.0/73.7,27.4/10.7,88.5/0.3,6.4,28.1,5.9,0.6,...,111.6/117.7,63.5/74.4,27.5/28.7,20.5,126.9,57.1,207,12.6,59.9/1.7,78,23,98.7/65.3,84.1/65.5,1.51,-99
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,56.4/64.3,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,64.3/59.1,36.7/5.5,93.9/3.8,4.8,36.4,-99,...,...,109.5/113.3,.../...,.../...,41.3,102.1,22.3,115,8.5,3.8/1.6,19,31,98.2/84.6,54.5/16.8,1.24,-99
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,40.4/89.2,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,59.5/57.6,50.2/4.2,189.3/1.0,312.5,65.8,6,...,6.7,66.8/77.9,17.2/24.2,0.9/2.6,17,46.5,2.2,34,0.9,2.1/0.1,101,5,100.0/48.6,37.9/4.6,12.26,-99
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,48.5/64.3,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,52.6/51.2,44.0/4.5,1199.1/0.7,2437.5,76.3,3.7,...,-99,92.8/94.5,53.5/57.8,8.3/11.8,5.6,82.2,47.4,361,8.1,96.3/0.6,10851,32,80.8/57.3,32.8/25.4,0.52,-99
Saint Helena,WesternAfrica,308,4,10.4,-99,-99,-99,-99,-99,-99,-99,...,...,...,...,-99,-99,-99,~0,48,-48,-99,-0.7,39.4,-0.6,-99,-99,-99,0.6/15.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,30.7,37.6,100,5.1,~0.0/3.1,0,41,-99,-99,-99,-99
Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,13.6,45.4/76.2,119,119,10,139,-129,-69,2.2,65.1,3.6,4.7,68.2/64.0,42.8/4.3,2.4/1.3,-99,43.8,8.1,...,3.8,112.2/117.7,91.7/80.8,13.6/13.2,18.2,65.1,25.8,94,55.8,0.1/0.6,1,14,98.9/93.6,40.8/23.3,12.39,-99
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,45.3/70.5,126,127,2640,5478,-2838,-1348,3,43.7,3.6,5,67.5/63.8,42.9/4.7,263.2/1.7,17.6,43.9,4.7,...,7.4,86.9/77.6,49.1/50.2,7.8/12.9,42.7,100,21.7,123,43.2,8.9/0.6,77,11,92.9/67.3,65.4/33.8,6.49,-99
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,65.1/68.8,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,50.7/49.6,42.1/4.2,91.2/1.4,0.8,94.4,11.1,...,2.7,128.2/127.0,40.1/46.5,.../...,12.4,89.5,2.5,177,41.3,1.3/0.2,53,11,84.9/47.8,22.8/6.9,21.56,-99
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,46.4/61.1,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,63.0/56.1,29.0/8.4,3142.5/5.8,1201.9,36.5,8.8,0.8,6,97.3/102.2,111.5/88.0,23.3/15.7,42.2,159.3,51.9,581,7.6,489.8/9.1,7102,122,99.6/81.4,69.6/60.5,0.47,-99
Sudan,NorthernAfrica,-99,40533,23,99.9,79546,4.9,1977,32.4,20.1,47.6,32.9,20.4,46.7,13.4,24.4/72.2,-99,-99,1797,7658,-5861,-5933,2.3,33.8,2.5,4.8,65.1/62.1,40.8/5.5,503.5/1.3,3619.6,48.7,8.4,3.1,...,66.6/74.1,41.5/43.9,16.8/15.8,30.5,70.5,26.6,133,-99,15.4/0.4,682,16,-99,-99,1.09,-99
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,40.6/65.1,114,115,1881,733,1149,281,1.8,21.3,1.3,3.3,58.2/51.6,37.2/4.8,31.6/2.5,1.1,56.3,9.3,...,7,108.0/117.5,65.8/66.2,5.5/5.2,6.2,73.2,30.4,34,33.8,1.2/1.0,39,40,93.6/68.9,63.1/56.0,2.39,-99
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,59.6/77.9,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,73.5/67.7,35.3/5.8,275.1/3.2,21.8,38.9,6.9,1.7,5.2,101.2/99.8,83.1/92.5,24.0/33.6,19,98.6,19,45,3,5.2/0.6,76,14,93.1/66.7,93.8/95.5,4.55,-99
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,81.0/80.7,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,59.8/58.3,41.6/4.6,276.8/3.8,13.8,55.7,5.2,...,5.2,118.5/125.1,.../...,6.4/14.9,17.6,65,7.1,80,3.8,2.6/0.4,111,20,91.4/44.2,24.7/2.9,5.51,-99
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,25.1/71.3,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,2.3,77.1/73.0,24.0/12.3,56.7/0.5,0.7,18.5,7,1.6,6.3,112.5/115.8,94.2/90.0,43.3/26.2,31.3,129.9,48.5,96,6.6,28.8/2.6,274,39,100.0/93.2,97.4/79.8,1.14,-99
Turkmenistan,CentralAsia,488100,5758,12.3,97,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,8.6,47.3/77.7,103,109,3741,2616,1125,-99,1.8,50,1.9,3,70.8/63.9,30.9/7.3,196.4/3.7,7.2,46.9,2.1,2.3,3.1,88.6/90.1,83.7/86.9,6.2/9.7,25.8,145.9,15,54,8.8,68.4/12.9,3270,212,.../...,.../...,0.07,-99
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,48.5/76.6,158,174,27947,25652,2295,-99,1.6,36.4,1.4,2.4,73.5/68.1,28.0/7.6,1170.9/3.9,86.7,31.3,5.8,2.5,-99,103.2/105.6,95.1/96.8,7.1/11.0,16,73.3,42.8,59,7.6,105.2/3.6,2339,62,98.5/80.9,100.0/100.0,0.66,-99
Western Sahara,NorthernAfrica,266000,553,2.1,110.1,-99,-99,-99,-99,-99,-99,37.4,27.9,34.7,6.8,28.6/83.3,100,100,-99,-99,-99,-99,1.8,80.9,3.3,2.6,70.3/66.9,28.1/5.4,5.2/0.9,-99,34.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,49,2.7,-99,-99,-99,-99,-99,-99,-99
